anomalia	position	words_count	accent_vowels	tf_idf	pos	names	punctuation_in_the_middle	question	negation	line_sentence	numerals	subject	verbs	adjectives	adverbs	personal_pronomen	prepositions	part	conjunction	conj_constructions	o	u	a	e	i	y	prev_word_count	prev_accent_vowels	prev_tf_idf	prev_names	prev_punctuantion_in_the_middle	prev_question	prev_negation	prev_line_sentence	prev_numerals	prev_subject	prev_verbs	prev_adjectives	prev_adverbs	prev_personal_pronomen	prev_prepositions	prev_part	prev_conjunction	prev_conj_constructions	prev_ikt_schema	prev_o	prev_u	prev_a	prev_e	prev_i	prev_y	post_word_count	post_accent_vowels	post_tf_idf	post_names	post_punctuantion_in_the_middle	post_question	post_negation	post_line_sentence	post_numerals	post_subject	post_verbs	post_adjectives	post_adverbs	post_personal_pronomen	post_prepositions	post_part	post_conjunction	post_conj_constructions	post_ikt_schema	post_o	post_u	post_a	post_e	post_i	post_y
0	p1	8	уиооуо	1	SVMPMASM	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	3	2	1	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	аоаооуоэаиыиоээаэоиэаиуэыаоауа	3	1	1	0	1	0	0	14	8	2	2	2	4	1	5	0	0	7	3	2	6	4	2
0	p1	9	аоаооу	0	VBPSCASMV	1	0	0	0	0	0	2	2	1	1	1	1	0	1	0	3	1	1	0	0	0	8	уиооуо	1	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	0	3	2	1	0	1	0	39	оэаиыиоээаэоиэаиуэыаоауаииаиау	5	0	1	0	1	0	0	15	7	1	1	3	4	1	4	0	0	4	3	1	6	7	2
0	p1	7	оэаиыи	1	MSSVCSV	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	1	0	0	1	2	1	17	аоаооууиооуо	1	2	0	0	0	0	0	4	3	2	1	2	2	0	1	0	0	6	3	2	0	1	0	39	оээаэоиэаиуэыаоауаииаиауэооаао	6	1	1	0	1	0	0	15	7	1	1	4	5	1	3	0	0	6	3	1	6	5	1
0	p1	9	оээаэо	0	BCSVPSPSV	0	0	0	0	0	0	3	2	0	1	0	2	0	1	0	2	0	0	3	0	0	24	оэаиыиаоаооууиооуо	2	2	0	0	0	0	0	7	5	2	1	2	2	0	2	0	0	7	3	2	1	3	1	40	иэаиуэыаоауаииаиауэооааоэаиииэ	6	1	2	0	1	0	0	14	7	1	0	7	5	2	2	0	1	4	3	1	5	8	1
0	p1	8	иэаиуэ	0	SMCSPSSA	0	1	0	0	0	0	4	0	1	0	0	1	0	1	0	0	1	1	2	2	0	33	оээаэооэаиыиаоаооууиооуо	2	2	0	0	0	0	0	10	7	2	2	2	4	0	3	0	0	9	3	2	4	3	1	40	ыаоауаииаиауэооааоэаиииэоаэооу	7	3	1	0	1	1	0	13	7	1	0	9	5	2	1	0	1	7	3	1	4	6	1
0	p1	8	ыаоауа	2	VCSRVMSM	0	0	0	1	0	0	2	2	0	0	1	0	1	1	0	1	1	0	0	0	1	41	иэаиуэоээаэооэаиыиаоаооууиооуо	2	2	1	0	0	0	0	14	7	3	2	2	5	0	4	0	0	9	4	3	6	5	1	39	ииаиауэооааоэаиииэоаэооуэииээы	6	3	1	0	0	1	0	12	7	2	1	9	5	1	0	0	1	6	2	2	7	8	1
0	p1	7	ииаиау	2	SMPMVSS	0	0	0	0	0	0	3	1	0	0	2	1	0	0	0	0	1	0	0	3	0	41	ыаоауаиэаиуэоээаэооэаиыиаоаооу	3	1	1	0	1	0	0	14	8	2	2	2	4	1	5	0	0	7	3	2	6	4	2	41	эооааоэаиииэоаэооуэииээыоэаооу	4	3	2	0	0	1	0	12	7	2	2	8	4	2	2	0	1	9	2	2	8	5	1
0	p1	7	эооаао	2	VSSPMVS	1	0	0	0	0	0	3	2	0	0	1	1	0	0	0	3	0	0	1	0	0	39	ииаиауыаоауаиэаиуэоээаэооэаиыи	5	0	1	0	1	0	0	15	7	1	1	3	4	1	4	0	0	4	3	1	6	7	2	43	эаиииэоаэооуэииээыоэаооуиоииоо	2	2	2	0	0	1	0	12	6	4	2	7	5	2	3	0	1	9	2	4	7	8	1
0	p1	10	эаиииэ	0	SSPMMVVRPM	0	1	0	0	0	0	2	2	0	0	3	2	1	0	0	0	0	0	2	3	0	39	эооааоииаиауыаоауаиэаиуэоээаэо	6	1	1	0	1	0	0	15	7	1	1	4	5	1	3	0	0	6	3	1	6	5	1	39	оаэооуэииээыоэаооуиоииооэиииио	5	3	1	0	0	1	0	14	4	6	2	4	3	1	3	0	0	10	2	6	6	9	1
0	p1	8	оаэооу	1	MMPSSAS	2	0	0	0	1	0	3	0	1	0	2	1	0	0	0	3	1	1	1	0	0	40	эаиииээооааоииаиауыаоауаиэаиуэ	6	1	2	0	1	0	0	14	7	1	0	7	5	2	2	0	1	4	3	1	5	8	1	39	эииээыоэаооуиоииооэииииоиаааыу	4	1	1	0	0	1	0	13	7	5	3	3	2	1	4	0	0	7	2	5	5	10	2
